respID,qID,altID,obsID,profileID,type,type2,price,weight,runtime,airspeed
2,6,1,14,244,gas,backpack,100,8,60,270
2,6,2,14,72,plug-in,backpack,275,40,unlimited,270
2,6,3,14,187,gas,handheld,100,40,60,125
2,7,1,15,161,gas,handheld,80,40,15,125
2,7,2,15,140,gas,backpack,100,40,200,50
2,7,3,15,292,battery,backpack,100,8,15,50
2,8,1,16,382,battery,backpack,200,40,15,125
2,8,2,16,72,plug-in,backpack,275,40,unlimited,270
2,8,3,16,126,gas,backpack,200,8,200,50
3,1,1,17,165,gas,handheld,200,40,15,125
3,1,2,17,48,plug-in,backpack,275,40,unlimited,125
3,1,3,17,444,battery,backpack,100,20,15,270
3,2,1,18,325,battery,handheld,200,20,60,50
3,2,2,18,8,plug-in,backpack,275,8,unlimited,50
3,2,3,18,463,battery,handheld,275,8,60,270
3,3,1,19,38,plug-in,backpack,200,20,unlimited,125
3,3,2,19,81,gas,handheld,80,20,15,50
3,3,3,19,449,battery,handheld,80,40,15,270
3,4,1,20,464,battery,backpack,275,8,60,270
3,4,2,20,391,battery,handheld,275,8,60,125
3,4,3,20,304,battery,backpack,275,20,15,50
3,5,1,21,247,gas,handheld,275,8,60,270
3,5,2,21,148,gas,backpack,100,8,15,125
3,5,3,21,455,battery,handheld,275,40,15,270
3,6,1,22,357,battery,handheld,200,40,200,50
3,6,2,22,322,battery,backpack,80,20,60,50
3,6,3,22,9,plug-in,handheld,80,20,unlimited,50
3,7,1,23,503,battery,handheld,275,40,200,270
3,7,2,23,397,battery,handheld,200,20,60,125
3,7,3,23,498,battery,backpack,80,40,200,270
3,8,1,24,198,gas,backpack,200,8,200,125
3,8,2,24,276,gas,backpack,100,20,200,270
3,8,3,24,57,plug-in,handheld,80,20,unlimited,270
4,1,1,25,438,battery,backpack,200,8,15,270
4,1,2,25,183,gas,handheld,275,20,60,125
4,1,3,25,54,plug-in,backpack,200,8,unlimited,270
4,2,1,26,463,battery,handheld,275,8,60,270
4,2,2,26,306,battery,backpack,80,40,15,50
4,2,3,26,227,gas,handheld,100,20,15,270
4,3,1,27,470,battery,backpack,200,20,60,270
4,3,2,27,176,gas,backpack,275,8,60,125
4,3,3,27,443,battery,handheld,100,20,15,270
4,4,1,28,78,gas,backpack,200,8,15,50
4,4,2,28,80,gas,backpack,275,8,15,50
4,4,3,28,313,battery,handheld,80,8,60,50
4,5,1,29,237,gas,handheld,200,40,15,270
4,5,2,29,68,plug-in,backpack,100,40,unlimited,270
4,5,3,29,5,plug-in,handheld,200,8,unlimited,50
4,6,1,30,375,battery,handheld,275,20,15,125
4,6,2,30,430,battery,backpack,200,40,200,125
4,6,3,30,149,gas,handheld,200,8,15,125
4,7,1,31,446,battery,backpack,200,20,15,270
4,7,2,31,474,battery,backpack,80,40,60,270
4,7,3,31,43,plug-in,handheld,100,40,unlimited,125
4,8,1,32,153,gas,handheld,80,20,15,125
4,8,2,32,347,battery,handheld,100,20,200,50
4,8,3,32,261,gas,handheld,200,40,60,270
5,1,1,33,467,battery,handheld,100,20,60,270
5,1,2,33,388,battery,backpack,100,8,60,125
5,1,3,33,369,battery,handheld,80,20,15,125
5,2,1,34,246,gas,backpack,200,8,60,270
5,2,2,34,427,battery,handheld,100,40,200,125
5,2,3,34,238,gas,backpack,200,40,15,270
5,3,1,35,380,battery,backpack,100,40,15,125
5,3,2,35,172,gas,backpack,100,8,60,125
5,3,3,35,375,battery,handheld,275,20,15,125
5,4,1,36,313,battery,handheld,80,8,60,50
5,4,2,36,96,gas,backpack,275,40,15,50
5,4,3,36,298,battery,backpack,80,20,15,50
5,5,1,37,57,plug-in,handheld,80,20,unlimited,270
5,5,2,37,106,gas,backpack,80,20,60,50
5,5,3,37,253,gas,handheld,200,20,60,270
5,6,1,38,254,gas,backpack,200,20,60,270
5,6,2,38,146,gas,backpack,80,8,15,125
5,6,3,38,313,battery,handheld,80,8,60,50
5,7,1,39,132,gas,backpack,100,20,200,50
5,7,2,39,171,gas,handheld,100,8,60,125
5,7,3,39,387,battery,handheld,100,8,60,125
5,8,1,40,481,battery,handheld,80,8,200,270
5,8,2,40,167,gas,handheld,275,40,15,125
5,8,3,40,128,gas,backpack,275,8,200,50
6,1,1,41,307,battery,handheld,100,40,15,50
6,1,2,41,155,gas,handheld,100,20,15,125
6,1,3,41,327,battery,handheld,275,20,60,50
6,2,1,42,96,gas,backpack,275,40,15,50
6,2,2,42,22,plug-in,backpack,200,40,unlimited,50
6,2,3,42,424,battery,backpack,275,20,200,125
6,3,1,43,237,gas,handheld,200,40,15,270
6,3,2,43,234,gas,backpack,80,40,15,270
6,3,3,43,45,plug-in,handheld,200,40,unlimited,125
6,4,1,44,185,gas,handheld,80,40,60,125
6,4,2,44,74,gas,backpack,80,8,15,50
6,4,3,44,251,gas,handheld,100,20,60,270
6,5,1,45,395,battery,handheld,100,20,60,125
6,5,2,45,52,plug-in,backpack,100,8,unlimited,270
6,5,3,45,144,gas,backpack,275,40,200,50
6,6,1,46,476,battery,backpack,100,40,60,270
6,6,2,46,132,gas,backpack,100,20,200,50
6,6,3,46,122,gas,backpack,80,8,200,50
6,7,1,47,289,battery,handheld,80,8,15,50
6,7,2,47,122,gas,backpack,80,8,200,50
6,7,3,47,154,gas,backpack,80,20,15,125
6,8,1,48,242,gas,backpack,80,8,60,270
6,8,2,48,253,gas,handheld,200,20,60,270
6,8,3,48,419,battery,handheld,100,20,200,125
7,1,1,49,105,gas,handheld,80,20,60,50
7,1,2,49,253,gas,handheld,200,20,60,270
7,1,3,49,188,gas,backpack,100,40,60,125
7,2,1,50,383,battery,handheld,275,40,15,125
7,2,2,50,255,gas,handheld,275,20,60,270
7,2,3,50,164,gas,backpack,100,40,15,125
7,3,1,51,476,battery,backpack,100,40,60,270
7,3,2,51,261,gas,handheld,200,40,60,270
7,3,3,51,23,plug-in,handheld,275,40,unlimited,50
7,4,1,52,159,gas,handheld,275,20,15,125
7,4,2,52,264,gas,backpack,275,40,60,270
7,4,3,52,8,plug-in,backpack,275,8,unlimited,50
7,5,1,53,122,gas,backpack,80,8,200,50
7,5,2,53,247,gas,handheld,275,8,60,270
7,5,3,53,166,gas,backpack,200,40,15,125
7,6,1,54,252,gas,backpack,100,20,60,270
7,6,2,54,27,plug-in,handheld,100,8,unlimited,125
7,6,3,54,198,gas,backpack,200,8,200,125
7,7,1,55,412,battery,backpack,100,8,200,125
7,7,2,55,116,gas,backpack,100,40,60,50
7,7,3,55,173,gas,handheld,200,8,60,125
7,8,1,56,342,battery,backpack,200,8,200,50
7,8,2,56,434,battery,backpack,80,8,15,270
7,8,3,56,504,battery,backpack,275,40,200,270
8,1,1,57,30,plug-in,backpack,200,8,unlimited,125
8,1,2,57,376,battery,backpack,275,20,15,125
8,1,3,57,226,gas,backpack,80,20,15,270
8,2,1,58,155,gas,handheld,100,20,15,125
8,2,2,58,423,battery,handheld,275,20,200,125
8,2,3,58,106,gas,backpack,80,20,60,50
8,3,1,59,78,gas,backpack,200,8,15,50
8,3,2,59,272,gas,backpack,275,8,200,270
8,3,3,59,493,battery,handheld,200,20,200,270
8,4,1,60,158,gas,backpack,200,20,15,125
8,4,2,60,137,gas,handheld,80,40,200,50
8,4,3,60,344,battery,backpack,275,8,200,50
8,5,1,61,370,battery,backpack,80,20,15,125
8,5,2,61,158,gas,backpack,200,20,15,125
8,5,3,61,319,battery,handheld,275,8,60,50
8,6,1,62,119,gas,handheld,275,40,60,50
8,6,2,62,194,gas,backpack,80,8,200,125
8,6,3,62,452,battery,backpack,100,40,15,270
8,7,1,63,108,gas,backpack,100,20,60,50
8,7,2,63,266,gas,backpack,80,8,200,270
8,7,3,63,35,plug-in,handheld,100,20,unlimited,125
8,8,1,64,394,battery,backpack,80,20,60,125
8,8,2,64,107,gas,handheld,100,20,60,50
8,8,3,64,368,battery,backpack,275,8,15,125
9,1,1,65,245,gas,handheld,200,8,60,270
9,1,2,65,66,plug-in,backpack,80,40,unlimited,270
9,1,3,65,253,gas,handheld,200,20,60,270
9,2,1,66,438,battery,backpack,200,8,15,270
9,2,2,66,435,battery,handheld,100,8,15,270
9,2,3,66,371,battery,handheld,100,20,15,125
9,3,1,67,482,battery,backpack,80,8,200,270
9,3,2,67,273,gas,handheld,80,20,200,270
9,3,3,67,157,gas,handheld,200,20,15,125
9,4,1,68,467,battery,handheld,100,20,60,270
9,4,2,68,175,gas,handheld,275,8,60,125
9,4,3,68,43,plug-in,handheld,100,40,unlimited,125
9,5,1,69,163,gas,handheld,100,40,15,125
9,5,2,69,371,battery,handheld,100,20,15,125
9,5,3,69,105,gas,handheld,80,20,60,50
9,6,1,70,399,battery,handheld,275,20,60,125
9,6,2,70,349,battery,handheld,200,20,200,50
9,6,3,70,370,battery,backpack,80,20,15,125
9,7,1,71,148,gas,backpack,100,8,15,125
9,7,2,71,278,gas,backpack,200,20,200,270
9,7,3,71,351,battery,handheld,275,20,200,50
9,8,1,72,413,battery,handheld,200,8,200,125
9,8,2,72,68,plug-in,backpack,100,40,unlimited,270
9,8,3,72,380,battery,backpack,100,40,15,125
10,1,1,73,453,battery,handheld,200,40,15,270
10,1,2,73,498,battery,backpack,80,40,200,270
10,1,3,73,398,battery,backpack,200,20,60,125
10,2,1,74,37,plug-in,handheld,200,20,unlimited,125
10,2,2,74,147,gas,handheld,100,8,15,125
10,2,3,74,269,gas,handheld,200,8,200,270
10,3,1,75,141,gas,handheld,200,40,200,50
10,3,2,75,159,gas,handheld,275,20,15,125
10,3,3,75,10,plug-in,backpack,80,20,unlimited,50
10,4,1,76,254,gas,backpack,200,20,60,270
10,4,2,76,105,gas,handheld,80,20,60,50
10,4,3,76,61,plug-in,handheld,200,20,unlimited,270
10,5,1,77,88,gas,backpack,275,20,15,50
10,5,2,77,269,gas,handheld,200,8,200,270
10,5,3,77,384,battery,backpack,275,40,15,125
10,6,1,78,426,battery,backpack,80,40,200,125
10,6,2,78,60,plug-in,backpack,100,20,unlimited,270
10,6,3,78,93,gas,handheld,200,40,15,50
10,7,1,79,377,battery,handheld,80,40,15,125
10,7,2,79,2,plug-in,backpack,80,8,unlimited,50
10,7,3,79,121,gas,handheld,80,8,200,50
10,8,1,80,51,plug-in,handheld,100,8,unlimited,270
10,8,2,80,115,gas,handheld,100,40,60,50
10,8,3,80,319,battery,handheld,275,8,60,50
11,1,1,81,23,plug-in,handheld,275,40,unlimited,50
11,1,2,81,358,battery,backpack,200,40,200,50
11,1,3,81,234,gas,backpack,80,40,15,270
11,2,1,82,6,plug-in,backpack,200,8,unlimited,50
11,2,2,82,137,gas,handheld,80,40,200,50
11,2,3,82,36,plug-in,backpack,100,20,unlimited,125
11,3,1,83,470,battery,backpack,200,20,60,270
11,3,2,83,453,battery,handheld,200,40,15,270
11,3,3,83,385,battery,handheld,80,8,60,125
11,4,1,84,376,battery,backpack,275,20,15,125
11,4,2,84,434,battery,backpack,80,8,15,270
11,4,3,84,191,gas,handheld,275,40,60,125
11,5,1,85,444,battery,backpack,100,20,15,270
11,5,2,85,191,gas,handheld,275,40,60,125
11,5,3,85,43,plug-in,handheld,100,40,unlimited,125
11,6,1,86,10,plug-in,backpack,80,20,unlimited,50
11,6,2,86,405,battery,handheld,200,40,60,125
11,6,3,86,11,plug-in,handheld,100,20,unlimited,50
11,7,1,87,478,battery,backpack,200,40,60,270
11,7,2,87,285,gas,handheld,200,40,200,270
11,7,3,87,115,gas,handheld,100,40,60,50
11,8,1,88,375,battery,handheld,275,20,15,125
11,8,2,88,422,battery,backpack,200,20,200,125
11,8,3,88,452,battery,backpack,100,40,15,270
12,1,1,89,105,gas,handheld,80,20,60,50
12,1,2,89,386,battery,backpack,80,8,60,125
12,1,3,89,240,gas,backpack,275,40,15,270
12,2,1,90,111,gas,handheld,275,20,60,50
12,2,2,90,41,plug-in,handheld,80,40,unlimited,125
12,2,3,90,244,gas,backpack,100,8,60,270
12,3,1,91,353,battery,handheld,80,40,200,50
12,3,2,91,302,battery,backpack,200,20,15,50
12,3,3,91,182,gas,backpack,200,20,60,125
12,4,1,92,112,gas,backpack,275,20,60,50
12,4,2,92,493,battery,handheld,200,20,200,270
12,4,3,92,475,battery,handheld,100,40,60,270
12,5,1,93,330,battery,backpack,80,40,60,50
12,5,2,93,358,battery,backpack,200,40,200,50
12,5,3,93,391,battery,handheld,275,8,60,125
12,6,1,94,210,gas,backpack,80,40,200,125
12,6,2,94,209,gas,handheld,80,40,200,125
12,6,3,94,307,battery,handheld,100,40,15,50
12,7,1,95,140,gas,backpack,100,40,200,50
12,7,2,95,304,battery,backpack,275,20,15,50
12,7,3,95,222,gas,backpack,200,8,15,270
12,8,1,96,484,battery,backpack,100,8,200,270
12,8,2,96,496,battery,backpack,275,20,200,270
12,8,3,96,436,battery,backpack,100,8,15,270
13,1,1,97,436,battery,backpack,100,8,15,270
13,1,2,97,205,gas,handheld,200,20,200,125
13,1,3,97,325,battery,handheld,200,20,60,50
13,2,1,98,71,plug-in,handheld,275,40,unlimited,270
13,2,2,98,238,gas,backpack,200,40,15,270
13,2,3,98,26,plug-in,backpack,80,8,unlimited,125
13,3,1,99,458,battery,backpack,80,8,60,270
13,3,2,99,378,battery,backpack,80,40,15,125
13,3,3,99,105,gas,handheld,80,20,60,50
13,4,1,100,182,gas,backpack,200,20,60,125
13,4,2,100,409,battery,handheld,80,8,200,125
13,4,3,100,61,plug-in,handheld,200,20,unlimited,270
13,5,1,101,188,gas,backpack,100,40,60,125
13,5,2,101,317,battery,handheld,200,8,60,50
13,5,3,101,496,battery,backpack,275,20,200,270
13,6,1,102,488,battery,backpack,275,8,200,270
13,6,2,102,341,battery,handheld,200,8,200,50
13,6,3,102,347,battery,handheld,100,20,200,50
13,7,1,103,164,gas,backpack,100,40,15,125
13,7,2,103,4,plug-in,backpack,100,8,unlimited,50
13,7,3,103,410,battery,backpack,80,8,200,125
13,8,1,104,161,gas,handheld,80,40,15,125
13,8,2,104,128,gas,backpack,275,8,200,50
13,8,3,104,349,battery,handheld,200,20,200,50
14,1,1,105,245,gas,handheld,200,8,60,270
14,1,2,105,32,plug-in,backpack,275,8,unlimited,125
14,1,3,105,125,gas,handheld,200,8,200,50
14,2,1,106,89,gas,handheld,80,40,15,50
14,2,2,106,74,gas,backpack,80,8,15,50
14,2,3,106,477,battery,handheld,200,40,60,270
14,3,1,107,266,gas,backpack,80,8,200,270
14,3,2,107,331,battery,handheld,100,40,60,50
14,3,3,107,319,battery,handheld,275,8,60,50
14,4,1,108,189,gas,handheld,200,40,60,125
14,4,2,108,200,gas,backpack,275,8,200,125
14,4,3,108,85,gas,handheld,200,20,15,50
14,5,1,109,156,gas,backpack,100,20,15,125
14,5,2,109,423,battery,handheld,275,20,200,125
14,5,3,109,437,battery,handheld,200,8,15,270
14,6,1,110,265,gas,handheld,80,8,200,270
14,6,2,110,375,battery,handheld,275,20,15,125
14,6,3,110,437,battery,handheld,200,8,15,270
14,7,1,111,216,gas,backpack,275,40,200,125
14,7,2,111,158,gas,backpack,200,20,15,125
14,7,3,111,386,battery,backpack,80,8,60,125
14,8,1,112,72,plug-in,backpack,275,40,unlimited,270
14,8,2,112,302,battery,backpack,200,20,15,50
14,8,3,112,121,gas,handheld,80,8,200,50
15,1,1,113,338,battery,backpack,80,8,200,50
15,1,2,113,353,battery,handheld,80,40,200,50
15,1,3,113,390,battery,backpack,200,8,60,125
15,2,1,114,60,plug-in,backpack,100,20,unlimited,270
15,2,2,114,309,battery,handheld,200,40,15,50
15,2,3,114,339,battery,handheld,100,8,200,50
15,3,1,115,180,gas,backpack,100,20,60,125
15,3,2,115,167,gas,handheld,275,40,15,125
15,3,3,115,363,battery,handheld,100,8,15,125
15,4,1,116,134,gas,backpack,200,20,200,50
15,4,2,116,502,battery,backpack,200,40,200,270
15,4,3,116,318,battery,backpack,200,8,60,50
15,5,1,117,348,battery,backpack,100,20,200,50
15,5,2,117,295,battery,handheld,275,8,15,50
15,5,3,117,248,gas,backpack,275,8,60,270
15,6,1,118,424,battery,backpack,275,20,200,125
15,6,2,118,121,gas,handheld,80,8,200,50
15,6,3,118,378,battery,backpack,80,40,15,125
15,7,1,119,479,battery,handheld,275,40,60,270
15,7,2,119,363,battery,handheld,100,8,15,125
15,7,3,119,214,gas,backpack,200,40,200,125
15,8,1,120,279,gas,handheld,275,20,200,270
15,8,2,120,195,gas,handheld,100,8,200,125
15,8,3,120,228,gas,backpack,100,20,15,270
16,1,1,121,376,battery,backpack,275,20,15,125
16,1,2,121,20,plug-in,backpack,100,40,unlimited,50
16,1,3,121,216,gas,backpack,275,40,200,125
16,2,1,122,351,battery,handheld,275,20,200,50
16,2,2,122,480,battery,backpack,275,40,60,270
16,2,3,122,175,gas,handheld,275,8,60,125
16,3,1,123,4,plug-in,backpack,100,8,unlimited,50
16,3,2,123,146,gas,backpack,80,8,15,125
16,3,3,123,211,gas,handheld,100,40,200,125
16,4,1,124,483,battery,handheld,100,8,200,270
16,4,2,124,191,gas,handheld,275,40,60,125
16,4,3,124,451,battery,handheld,100,40,15,270
16,5,1,125,344,battery,backpack,275,8,200,50
16,5,2,125,494,battery,backpack,200,20,200,270
16,5,3,125,312,battery,backpack,275,40,15,50
16,6,1,126,344,battery,backpack,275,8,200,50
16,6,2,126,335,battery,handheld,275,40,60,50
16,6,3,126,461,battery,handheld,200,8,60,270
16,7,1,127,83,gas,handheld,100,20,15,50
16,7,2,127,503,battery,handheld,275,40,200,270
16,7,3,127,410,battery,backpack,80,8,200,125
16,8,1,128,113,gas,handheld,80,40,60,50
16,8,2,128,103,gas,handheld,275,8,60,50
16,8,3,128,327,battery,handheld,275,20,60,50
17,1,1,129,283,gas,handheld,100,40,200,270
17,1,2,129,422,battery,backpack,200,20,200,125
17,1,3,129,484,battery,backpack,100,8,200,270
17,2,1,130,372,battery,backpack,100,20,15,125
17,2,2,130,355,battery,handheld,100,40,200,50
17,2,3,130,387,battery,handheld,100,8,60,125
17,3,1,131,169,gas,handheld,80,8,60,125
17,3,2,131,460,battery,backpack,100,8,60,270
17,3,3,131,126,gas,backpack,200,8,200,50
17,4,1,132,401,battery,handheld,80,40,60,125
17,4,2,132,230,gas,backpack,200,20,15,270
17,4,3,132,486,battery,backpack,200,8,200,270
17,5,1,133,387,battery,handheld,100,8,60,125
17,5,2,133,353,battery,handheld,80,40,200,50
17,5,3,133,220,gas,backpack,100,8,15,270
17,6,1,134,99,gas,handheld,100,8,60,50
17,6,2,134,272,gas,backpack,275,8,200,270
17,6,3,134,162,gas,backpack,80,40,15,125
17,7,1,135,162,gas,backpack,80,40,15,125
17,7,2,135,55,plug-in,handheld,275,8,unlimited,270
17,7,3,135,36,plug-in,backpack,100,20,unlimited,125
17,8,1,136,431,battery,handheld,275,40,200,125
17,8,2,136,7,plug-in,handheld,275,8,unlimited,50
17,8,3,136,147,gas,handheld,100,8,15,125
18,1,1,137,13,plug-in,handheld,200,20,unlimited,50
18,1,2,137,251,gas,handheld,100,20,60,270
18,1,3,137,320,battery,backpack,275,8,60,50
18,2,1,138,472,battery,backpack,275,20,60,270
18,2,2,138,423,battery,handheld,275,20,200,125
18,2,3,138,448,battery,backpack,275,20,15,270
18,3,1,139,196,gas,backpack,100,8,200,125
18,3,2,139,372,battery,backpack,100,20,15,125
18,3,3,139,418,battery,backpack,80,20,200,125
18,4,1,140,24,plug-in,backpack,275,40,unlimited,50
18,4,2,140,59,plug-in,handheld,100,20,unlimited,270
18,4,3,140,342,battery,backpack,200,8,200,50
18,5,1,141,116,gas,backpack,100,40,60,50
18,5,2,141,318,battery,backpack,200,8,60,50
18,5,3,141,467,battery,handheld,100,20,60,270
18,6,1,142,226,gas,backpack,80,20,15,270
18,6,2,142,125,gas,handheld,200,8,200,50
18,6,3,142,18,plug-in,backpack,80,40,unlimited,50
18,7,1,143,494,battery,backpack,200,20,200,270
18,7,2,143,189,gas,handheld,200,40,60,125
18,7,3,143,417,battery,handheld,80,20,200,125
18,8,1,144,341,battery,handheld,200,8,200,50
18,8,2,144,468,battery,backpack,100,20,60,270
18,8,3,144,436,battery,backpack,100,8,15,270
19,1,1,145,62,plug-in,backpack,200,20,unlimited,270
19,1,2,145,104,gas,backpack,275,8,60,50
19,1,3,145,270,gas,backpack,200,8,200,270
19,2,1,146,442,battery,backpack,80,20,15,270
19,2,2,146,175,gas,handheld,275,8,60,125
19,2,3,146,299,battery,handheld,100,20,15,50
19,3,1,147,161,gas,handheld,80,40,15,125
19,3,2,147,213,gas,handheld,200,40,200,125
19,3,3,147,462,battery,backpack,200,8,60,270
19,4,1,148,15,plug-in,handheld,275,20,unlimited,50
19,4,2,148,17,plug-in,handheld,80,40,unlimited,50
19,4,3,148,346,battery,backpack,80,20,200,50
19,5,1,149,230,gas,backpack,200,20,15,270
19,5,2,149,174,gas,backpack,200,8,60,125
19,5,3,149,210,gas,backpack,80,40,200,125
19,6,1,150,179,gas,handheld,100,20,60,125
19,6,2,150,502,battery,backpack,200,40,200,270
19,6,3,150,273,gas,handheld,80,20,200,270
19,7,1,151,347,battery,handheld,100,20,200,50
19,7,2,151,119,gas,handheld,275,40,60,50
19,7,3,151,52,plug-in,backpack,100,8,unlimited,270
19,8,1,152,58,plug-in,backpack,80,20,unlimited,270
19,8,2,152,165,gas,handheld,200,40,15,125
19,8,3,152,493,battery,handheld,200,20,200,270
20,1,1,153,439,battery,handheld,275,8,15,270
20,1,2,153,148,gas,backpack,100,8,15,125
20,1,3,153,117,gas,handheld,200,40,60,50
20,2,1,154,61,plug-in,handheld,200,20,unlimited,270
20,2,2,154,345,battery,handheld,80,20,200,50
20,2,3,154,291,battery,handheld,100,8,15,50
20,3,1,155,3,plug-in,handheld,100,8,unlimited,50
20,3,2,155,306,battery,backpack,80,40,15,50
20,3,3,155,265,gas,handheld,80,8,200,270
20,4,1,156,25,plug-in,handheld,80,8,unlimited,125
20,4,2,156,240,gas,backpack,275,40,15,270
20,4,3,156,54,plug-in,backpack,200,8,unlimited,270
20,5,1,157,162,gas,backpack,80,40,15,125
20,5,2,157,279,gas,handheld,275,20,200,270
20,5,3,157,400,battery,backpack,275,20,60,125
20,6,1,158,455,battery,handheld,275,40,15,270
20,6,2,158,292,battery,backpack,100,8,15,50
20,6,3,158,475,battery,handheld,100,40,60,270
20,7,1,159,203,gas,handheld,100,20,200,125
20,7,2,159,473,battery,handheld,80,40,60,270
20,7,3,159,309,battery,handheld,200,40,15,50
20,8,1,160,409,battery,handheld,80,8,200,125
20,8,2,160,373,battery,handheld,200,20,15,125
20,8,3,160,259,gas,handheld,100,40,60,270
21,1,1,161,158,gas,backpack,200,20,15,125
21,1,2,161,127,gas,handheld,275,8,200,50
21,1,3,161,255,gas,handheld,275,20,60,270
21,2,1,162,128,gas,backpack,275,8,200,50
21,2,2,162,192,gas,backpack,275,40,60,125
21,2,3,162,52,plug-in,backpack,100,8,unlimited,270
21,3,1,163,65,plug-in,handheld,80,40,unlimited,270
21,3,2,163,426,battery,backpack,80,40,200,125
21,3,3,163,171,gas,handheld,100,8,60,125
21,4,1,164,38,plug-in,backpack,200,20,unlimited,125
21,4,2,164,376,battery,backpack,275,20,15,125
21,4,3,164,319,battery,handheld,275,8,60,50
21,5,1,165,33,plug-in,handheld,80,20,unlimited,125
21,5,2,165,196,gas,backpack,100,8,200,125
21,5,3,165,480,battery,backpack,275,40,60,270
21,6,1,166,153,gas,handheld,80,20,15,125
21,6,2,166,231,gas,handheld,275,20,15,270
21,6,3,166,1,plug-in,handheld,80,8,unlimited,50
21,7,1,167,3,plug-in,handheld,100,8,unlimited,50
21,7,2,167,334,battery,backpack,200,40,60,50
21,7,3,167,151,gas,handheld,275,8,15,125
21,8,1,168,104,gas,backpack,275,8,60,50
21,8,2,168,34,plug-in,backpack,80,20,unlimited,125
21,8,3,168,346,battery,backpack,80,20,200,50
22,1,1,169,493,battery,handheld,200,20,200,270
22,1,2,169,307,battery,handheld,100,40,15,50
22,1,3,169,422,battery,backpack,200,20,200,125
22,2,1,170,501,battery,handheld,200,40,200,270
22,2,2,170,38,plug-in,backpack,200,20,unlimited,125
22,2,3,170,91,gas,handheld,100,40,15,50
22,3,1,171,215,gas,handheld,275,40,200,125
22,3,2,171,51,plug-in,handheld,100,8,unlimited,270
22,3,3,171,296,battery,backpack,275,8,15,50
22,4,1,172,129,gas,handheld,80,20,200,50
22,4,2,172,142,gas,backpack,200,40,200,50
22,4,3,172,208,gas,backpack,275,20,200,125
22,5,1,173,66,plug-in,backpack,80,40,unlimited,270
22,5,2,173,295,battery,handheld,275,8,15,50
22,5,3,173,468,battery,backpack,100,20,60,270
22,6,1,174,140,gas,backpack,100,40,200,50
22,6,2,174,111,gas,handheld,275,20,60,50
22,6,3,174,494,battery,backpack,200,20,200,270
22,7,1,175,199,gas,handheld,275,8,200,125
22,7,2,175,499,battery,handheld,100,40,200,270
22,7,3,175,440,battery,backpack,275,8,15,270
22,8,1,176,404,battery,backpack,100,40,60,125
22,8,2,176,460,battery,backpack,100,8,60,270
22,8,3,176,219,gas,handheld,100,8,15,270
23,1,1,177,167,gas,handheld,275,40,15,125
23,1,2,177,181,gas,handheld,200,20,60,125
23,1,3,177,28,plug-in,backpack,100,8,unlimited,125
23,2,1,178,370,battery,backpack,80,20,15,125
23,2,2,178,372,battery,backpack,100,20,15,125
23,2,3,178,46,plug-in,backpack,200,40,unlimited,125
23,3,1,179,252,gas,backpack,100,20,60,270
23,3,2,179,453,battery,handheld,200,40,15,270
23,3,3,179,210,gas,backpack,80,40,200,125
23,4,1,180,504,battery,backpack,275,40,200,270
23,4,2,180,403,battery,handheld,100,40,60,125
23,4,3,180,212,gas,backpack,100,40,200,125
23,5,1,181,168,gas,backpack,275,40,15,125
